EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,Blocked3s,BlockedArc3,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Travels,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceFG3M,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
1627748-1627763-1891-203503-203507,1610612749,"Thon Maker, Malcolm Brogdon, Jason Terry, Tony Snell, Giannis Antetokounmpo","Maker, Brogdon, Terry, Snell, Antetokounmpo",1627748-1627763-1891-203503-203507,MIL,130.0,1,2.0,3.0,4.0,4,1.0,8,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,3.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,0.6,1.0,0.6,1.0,0.6,1.0,0.2,1.0,0.5,0.5,0.3333333333333333,0.5,1.0,1.0,88.61538461538463,13.5,19.0,12.75,19.0,0.6,1.0,1.0,0.2,0.2,1.0,1.0,0.6,0.5724199999999999,0.5922,0.3333333333333333,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2017,2016-17,False
1627748-1627763-203114-203503-203507,1610612749,"Thon Maker, Malcolm Brogdon, Khris Middleton, Tony Snell, Giannis Antetokounmpo","Maker, Brogdon, Middleton, Snell, Antetokounmpo",1627748-1627763-203114-203503-203507,MIL,4729.0,6,79.0,7.0,156.0,152,12.0,308,30.0,47.0,3.0,5.0,20.0,21.0,45.0,88.0,165.0,158.0,4.0,8.0,9.0,46.0,8.0,9.0,40.0,67.0,12.0,79.0,12.0,6.0,20.0,38.0,13.0,9.0,13.0,156.0,0.5113636363636364,0.5,0.549618320610687,0.4,0.5780141843971631,0.45,0.09090909090909091,,0.7547169811320755,0.20930232558139536,0.8148148148148148,0.14925373134328357,0.08333333333333333,0.8333333333333334,93.78727003594841,14.98076923076923,15.736842105263158,14.532051282051283,15.013157894736842,0.35877862595419846,0.6382978723404256,0.7317073170731707,0.15267175572519084,0.16030534351145037,0.5,0.6,0.6870229007633588,0.5302665384615385,0.494705,0.05454545454545454,6.778409090909091,17.0,25.0,5.0,5.0,8.0,7.0,6.0,15.0,1.0,2.0,12.0,28.0,2.0,2.0,18.0,43.0,21.0,2.0,1.0,6.0,6.0,1.0,4.0,4.0,19.0,44.0,51.0,3.0,2.0,28.0,12.0,22.0,17.0,39.0,11.0,6.0,16.0,1.0,5.0,95.0,1.0,2.0,26.0,1.0,1.0,6.0,17.0,1.0,13.0,10.0,1.0,4.0,2.0,27.0,2.0,5.0,5.0,2.0,1.0,4.0,29.0,1.0,1.0,4.0,27.0,4.0,1.0,2.0,13.0,1.0,1.0,2.0,2.0,7.0,1.0,19.0,17.0,3.0,0.4888888888888889,0.5,0.9444444444444444,0.4186046511627907,0.25,0.4186046511627907,1.0,0.75,0.75,0.3282442748091603,0.1276595744680851,0.1,0.6296296296296297,0.3333333333333333,0.4,0.9285714285714286,0.041666666666666664,0.29411764705882354,0.21428571428571427,0.06666666666666667,0.75,0.6363636363636364,0.9130434782608695,1.0,0.01694915254237288,0.5384615384615384,0.5333333333333333,0.4,0.4444444444444444,0.125,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.11450381679389313,0.4,0.4,1.0,0.21374045801526717,0.42857142857142855,0.42857142857142855,0.9166666666666666,0.2,0.5,1.0,0.2,0.5,0.2,0.42857142857142855,0.5472,0.1,0.13402061855670103,0.023255813953488372,0.11515151515151516,25.58139534883721,0.10897435897435898,,,,,,,,,,,,,,,,,,1610612749,2017,2016-17,False
1627748-1627763-203114-203507-203521,1610612749,"Thon Maker, Malcolm Brogdon, Khris Middleton, Giannis Antetokounmpo, Matthew Dellavedova","Maker, Brogdon, Middleton, Antetokounmpo, Dellavedova",1627748-1627763-203114-203507-203521,MIL,630.0,4,10.0,3.0,20.0,20,,40,5.0,6.0,,,3.0,1.0,5.0,10.0,20.0,17.0,,,,6.0,,,4.0,9.0,,9.0,1.0,1.0,2.0,7.0,,,1.0,20.0,0.5,,0.5588235294117647,,0.5555555555555556,,,,1.0,,1.0,,,1.0,91.42857142857143,14.8,16.7,14.8,16.7,0.35294117647058826,0.8333333333333334,0.8333333333333334,0.17647058823529413,0.058823529411764705,,,0.7647058823529411,0.4720911764705882,,,5.7,8.0,10.0,2.0,2.0,,,1.0,2.0,,1.0,2.0,5.0,,3.0,3.0,7.0,1.0,,,2.0,4.0,1.0,4.0,,7.0,4.0,9.0,,,5.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,,,13.0,,,4.0,1.0,,,1.0,,1.0,1.0,,,,2.0,,,,,,,4.0,,,1.0,3.0,1.0,,,2.0,,,,,1.0,,7.0,8.0,2.0,0.4,0.4,1.0,0.42857142857142855,0.25,0.42857142857142855,0.5,0.4375,0.4375,0.4117647058823529,,,0.5,1.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,0.4,,,,,,,0.11764705882352941,0.5,0.5,1.0,0.29411764705882354,0.4,0.4,1.0,,0.25,1.0,0.125,,0.375,0.4,0.41810625,0.1111111111111111,0.18181818181818182,,0.35,25.614285714285717,0.4,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,1610612749,2017,2016-17,False
1627748-1627763-203141-203503-203507,1610612749,"Thon Maker, Malcolm Brogdon, Mirza Teletovic, Tony Snell, Giannis Antetokounmpo","Maker, Brogdon, Teletovic, Snell, Antetokounmpo",1627748-1627763-203141-203503-203507,MIL,51.0,1,1.0,-2.0,1.0,2,,3,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,84.70588235294117,27.0,12.0,27.0,12.0,1.0,,,,,,,1.0,0.3644,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2017,2016-17,False
1627748-1891-203114-203507-203521,1610612749,"Thon Maker, Jason Terry, Khris Middleton, Giannis Antetokounmpo, Matthew Dellavedova","Maker, Terry, Middleton, Antetokounmpo, Dellavedova",1627748-1891-203114-203507-203521,MIL,21.0,1,,-4.0,1.0,2,,3,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,205.71428571428572,6.0,7.5,6.0,7.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1610612749,2017,2016-17,False
1627748-203114-203503-203507-203521,1610612749,"Thon Maker, Khris Middleton, Tony Snell, Giannis Antetokounmpo, Matthew Dellavedova","Maker, Middleton, Snell, Antetokounmpo, Dellavedova",1627748-203114-203503-203507-203521,MIL,25.0,1,,-2.0,1.0,1,,2,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,115.19999999999999,11.0,14.0,11.0,14.0,,,,,,,,1.0,0.54885,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,24.1,,,,,,,,,,,,,,,,,,,1610612749,2017,2016-17,False
1627748-203141-203503-203507-203521,1610612749,"Thon Maker, Mirza Teletovic, Tony Snell, Giannis Antetokounmpo, Matthew Dellavedova","Maker, Teletovic, Snell, Antetokounmpo, Dellavedova",1627748-203141-203503-203507-203521,MIL,11.0,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2017,2016-17,False
1627763-1891-202328-203141-203507,1610612749,"Malcolm Brogdon, Jason Terry, Greg Monroe, Mirza Teletovic, Giannis Antetokounmpo","Brogdon, Terry, Monroe, Teletovic, Antetokounmpo",1627763-1891-202328-203141-203507,MIL,249.0,2,4.0,-2.0,7.0,8,1.0,15,1.0,2.0,,1.0,2.0,2.0,4.0,6.0,10.0,12.0,,1.0,,2.0,,1.0,1.0,3.0,1.0,4.0,1.0,,1.0,2.0,1.0,,1.0,10.0,0.6666666666666666,,0.6666666666666666,,0.7142857142857143,,,,0.5,0.5,0.75,0.5,,,86.74698795180723,15.285714285714286,17.75,14.428571428571429,17.125,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,0.4795833333333333,0.4068,,8.533333333333333,,,,,2.0,1.0,,,,,,,,,,,2.0,,,,,,,,,6.0,,,,,,3.0,,3.0,,,1.0,1.0,1.0,6.0,,,2.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,2.0,,,,2.0,,,,1.0,,,,1.0,,,,,,0.75,0.75,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,1610612749,2017,2016-17,False
1627763-1891-203089-203507-203521,1610612749,"Malcolm Brogdon, Jason Terry, John Henson, Giannis Antetokounmpo, Matthew Dellavedova","Brogdon, Terry, Henson, Antetokounmpo, Dellavedova",1627763-1891-203089-203507-203521,MIL,334.0,1,6.0,-3.0,9.0,10,2.0,19,1.0,5.0,,1.0,2.0,2.0,3.0,9.0,8.0,11.0,,1.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,,,,6.0,0.3333333333333333,,0.2727272727272727,,0.3333333333333333,0.3333333333333333,0.1111111111111111,,0.75,0.5,0.6666666666666666,0.375,1.0,,81.91616766467067,18.88888888888889,16.4,17.22222222222222,15.6,0.45454545454545453,0.2,0.25,0.18181818181818182,0.18181818181818182,0.5,,0.6363636363636364,0.48981363636363634,0.646425,0.25,7.177777777777777,,,,,1.0,1.0,,1.0,,,,1.0,,,,2.0,2.0,1.0,2.0,,,,,,,2.0,,,,1.0,,1.0,,1.0,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,0.18181818181818182,0.2,,,,,0.5,,0.5,,,0.5,1.0,0.5,,,,,0.5,0.5,,0.5,0.5,1.0,0.09090909090909091,,,,0.09090909090909091,,,,,,,,,,,,0.08333333333333333,0.1,,,25.25,,,,,,1.0,0.5,,,,,,,,,,,,1610612749,2017,2016-17,False
1627763-201150-201563-203114-203507,1610612749,"Malcolm Brogdon, Spencer Hawes, Michael Beasley, Khris Middleton, Giannis Antetokounmpo","Brogdon, Hawes, Beasley, Middleton, Antetokounmpo",1627763-201150-201563-203114-203507,MIL,89.0,1,1.0,,3.0,3,,6,1.0,1.0,,,,2.0,2.0,3.0,4.0,4.0,,,,4.0,,,,,,,,,,,,,,4.0,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,,,,,97.07865168539325,18.333333333333332,11.333333333333334,18.333333333333332,11.333333333333334,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,0.3333333333333333,0.5611666666666667,,,12.833333333333334,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2017,2016-17,False
