EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,FoulsDrawn,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,LongMidRangeFGM,FG2M,Points,PtsUnassisted2s,ShootingFouls,Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,OffThreePtRebounds,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Corner3FGA,2pt And 1 Free Throw Trips,Corner3Frequency,Corner3FGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallTurnovers,BlockingFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFtPoints,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,FTDefRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,Travels,Charge Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,DefFTReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,OffShortMidRangeReboundPct,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,Loose Ball Fouls,SecondChanceArc3PctAssisted,OffensiveGoaltends,Charge Fouls Drawn,SecondChanceCorner3FGA,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
101114-101127-101187-1905-201572,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Andrei Kirilenko, Brook Lopez","Williams, Jack, Anderson, Kirilenko, Lopez",101114-101127-101187-1905-201572,BKN,88.0,1,1.0,-3.0,3.0,3.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,98.18181818181819,17.333333333333332,12.0,17.333333333333332,11.333333333333334,1.0,0.4502,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-1905-202366,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Andrei Kirilenko, Jerome Jordan","Williams, Jack, Anderson, Kirilenko, Jordan",101114-101127-101187-1905-202366,BKN,52.0,1,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,110.76923076923076,11.5,14.5,11.5,14.5,1.0,0.3618,17.8,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-201152-201572,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Thaddeus Young, Brook Lopez","Williams, Jack, Anderson, Young, Lopez",101114-101127-101187-201152-201572,BKN,558.0,3,9.0,,19.0,21.0,6.0,40.0,4.0,15.0,19.0,3.0,10.0,12.0,1.0,1.0,1.0,1.0,3.0,,4.0,6.0,0.25,0.75,0.8333333333333334,,103.2258064516129,12.421052631578947,15.333333333333334,12.31578947368421,14.523809523809524,0.26666666666666666,0.49744,7.62,1.0,7.0,19.0,4.0,1.0,5.0,17.0,0.4666666666666667,0.4666666666666667,0.5277777777777778,1.0,0.25,0.25,9.0,2.0,4.0,7.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,1.0,1.0,2.0,2.0,6.0,5.0,9.0,10.0,2.0,5.0,5.0,3.0,1.0,1.0,10.0,2.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,0.7142857142857143,0.8333333333333334,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,0.25,0.875,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.4666666666666667,0.5714285714285714,0.5714285714285714,0.75,0.26666666666666666,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,0.4666666666666667,0.5955,0.46269999999999994,0.11764705882352941,0.11764705882352941,0.10526315789473684,0.47368421052631576,0.47368421052631576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-201152-202711,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Thaddeus Young, Bojan Bogdanovic","Williams, Jack, Anderson, Young, Bogdanovic",101114-101127-101187-201152-202711,BKN,11.0,1,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,130.9090909090909,11.0,,11.0,,1.0,0.2396,21.9,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2396,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-201152-203928,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Thaddeus Young, Cory Jefferson","Williams, Jack, Anderson, Young, Jefferson",101114-101127-101187-201152-203928,BKN,30.0,1,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,0.5,,48.0,,28.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-201152-2207,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Thaddeus Young, Joe Johnson","Williams, Jack, Anderson, Young, Johnson",101114-101127-101187-201152-2207,BKN,88.0,1,1.0,1.0,3.0,3.0,3.0,6.0,,1.0,2.0,1.0,2.0,3.0,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,98.18181818181819,24.0,5.333333333333333,18.333333333333332,5.333333333333333,,0.418325,10.1,,1.0,3.0,2.0,,1.0,1.0,1.0,0.5,0.5,,,,3.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,2.0,,1.0,,,,,2.0,2.0,,,,1.0,1.0,1.0,0.5,1.0,0.5,,1.0,1.0,,,,1.0,,,,,,0.5,1.0,1.0,,,,,,,0.5,,0.418325,,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-201572-202711,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Brook Lopez, Bojan Bogdanovic","Williams, Jack, Anderson, Lopez, Bogdanovic",101114-101127-101187-201572-202711,BKN,376.0,2,6.0,4.0,11.0,11.0,6.0,22.0,,8.0,6.0,4.0,6.0,7.0,,,,,1.0,,1.0,2.0,,0.8,0.8571428571428571,0.6666666666666666,84.25531914893617,17.636363636363637,16.545454545454547,17.363636363636363,16.454545454545453,,0.48902,4.725,,4.0,10.0,2.0,,,10.0,0.5,0.4,0.45454545454545453,1.0,,,6.0,1.0,3.0,5.0,,1.0,1.0,3.0,1.0,3.0,2.0,,1.0,,2.0,6.0,,4.0,6.0,,3.0,3.0,2.0,1.0,,6.0,1.0,2.0,1.0,,,,,,3.0,2.0,,,,,,4.0,6.0,,0.75,0.75,,0.3333333333333333,,0.2857142857142857,,0.2857142857142857,0.25,1.0,0.16666666666666666,0.5,,1.0,1.0,1.0,0.5,0.6,0.6,0.6666666666666666,0.3,0.3333333333333333,0.3333333333333333,1.0,,1.0,,0.42857142857142855,0.3333333333333333,0.7,0.4399,0.45347857142857145,0.18181818181818182,0.2222222222222222,,0.4,0.5454545454545454,1.0,1.0,2.0,1.0,1.0,,0.2,,,0.1,0.14285714285714285,24.25,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-201572-203141,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Brook Lopez, Mirza Teletovic","Williams, Jack, Anderson, Lopez, Teletovic",101114-101127-101187-201572-203141,BKN,629.0,6,10.0,-8.0,20.0,21.0,11.0,41.0,,12.0,29.0,6.0,6.0,9.0,1.0,1.0,1.0,1.0,,,1.0,5.0,1.0,0.5454545454545454,0.5454545454545454,0.2,93.86327503974563,16.35,14.380952380952381,15.65,13.380952380952381,,0.5311325,4.291666666666667,,6.0,21.0,6.0,2.0,2.0,19.0,0.5,0.45,0.4772727272727273,0.6666666666666666,,,6.0,3.0,3.0,7.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0,3.0,5.0,1.0,2.0,,12.0,2.0,,3.0,,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,9.0,6.0,1.0,0.5,0.6,1.0,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.6428571428571429,0.3333333333333333,,0.25,0.5,,1.0,,,0.35,0.42857142857142855,0.5,0.3333333333333333,0.25,0.6,0.6,0.6666666666666666,,0.3333333333333333,1.0,0.3333333333333333,0.5,0.75,0.5531333333333334,0.53595,0.047619047619047616,0.07692307692307693,0.09523809523809523,0.42857142857142855,0.3,7.0,3.0,8.0,3.0,7.0,1.0,0.4,0.16666666666666666,0.16666666666666666,0.35,0.5,25.1125,1.0,,0.05,1.0,1.0,2.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.25,0.08333333333333333,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,0.6666666666666666,0.3333333333333333,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-201572-203486,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Brook Lopez, Mason Plumlee","Williams, Jack, Anderson, Lopez, Plumlee",101114-101127-101187-201572-203486,BKN,464.0,3,8.0,-3.0,15.0,14.0,4.0,29.0,2.0,8.0,18.0,3.0,5.0,5.0,,,3.0,2.0,,,3.0,2.0,1.0,0.42857142857142855,0.5,,90.0,14.8,17.285714285714285,14.8,15.285714285714286,0.18181818181818182,0.46552727272727273,10.05,2.0,5.0,15.0,4.0,2.0,5.0,15.0,0.625,0.5909090909090909,0.625,0.6666666666666666,1.0,1.0,,,1.0,2.0,,,,,2.0,4.0,2.0,,,,,,,,6.0,,3.0,4.0,1.0,1.0,1.0,9.0,,2.0,,,,,,,2.0,1.0,,,,,,,,,0.6,0.6,,,,,,,,0.6666666666666666,,,,0.25,0.6666666666666666,,0.18181818181818182,0.5,0.5,1.0,0.36363636363636365,0.5,0.5,0.5,0.5,,,,,0.45454545454545453,,,0.08333333333333333,0.1111111111111111,,,,2.0,,3.0,,2.0,,0.2727272727272727,,,0.18181818181818182,,24.733333333333334,1.0,,0.09090909090909091,1.0,,,,1.0,,,3.0,,,1.0,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
101114-101127-101187-201572-203928,1610612751,"Deron Williams, Jarrett Jack, Alan Anderson, Brook Lopez, Cory Jefferson","Williams, Jack, Anderson, Lopez, Jefferson",101114-101127-101187-201572-203928,BKN,2.0,1,,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,720.0,2.0,,1.0,,,,,,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,2.0,,,2.0,,,2.0,2.0,,,,,,,,,,,1.0,,,,,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2015,2014-15,False
