EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,FG2M,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGA,PenaltyAtRimFGA,Corner3FGA,Arc3FGA,FG3A,NonHeaveArc3FGA,Steals,LostBallSteals,Fouls,NonShootingPenaltyNonTakeFouls,FG3APct,AtRimPctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,Avg3ptShotDistance,ShortMidRangeFGM,BadPassSteals,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFGM,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,FTOffRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffFTReboundPct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGM,StepOutOfBoundsTurnovers,PenaltyAtRimAccuracy,PenaltyCorner3FGA,ShootingFouls,LongMidRangePctBlocked,PenaltyCorner3Frequency,Corner3FGM,PtsPutbacks,Corner3Assists,OffThreePtRebounds,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeAssists,Travels,BlockedAtRim,BlockedLongMidRange,ShortMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Charge Fouls,SelfOReb,SelfORebPct,FTDefRebounds,Loose Ball Fouls Drawn,DefFTReboundPct,SecondChanceFtPoints,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Loose Ball Fouls,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,OffLongMidRangeReboundPct,Charge Fouls Drawn,PenaltyCorner3FGM,Blocked3s,BlockedCorner3,PenaltyCorner3Accuracy,Technical Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,LostBallOutOfBoundsTurnovers,BlockedArc3,DefensiveGoaltends,team_id,year,season,team_vs
1628455-1628971-1629013-1629651-201142,1610612751,"Mike James, Bruce Brown, Landry Shamet, Nicolas Claxton, Kevin Durant","James, Brown, Shamet, Claxton, Durant",1628455-1628971-1629013-1629651-201142,BKN,47.0,1,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,0.75,0.75,91.91489361702128,18.5,10.0,18.5,10.0,1.0,0.3989,0.3989,0.5,1.0,1.0,5.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1628971-1629013-201933-203925,1610612751,"Mike James, Bruce Brown, Landry Shamet, Blake Griffin, Joe Harris","James, Brown, Shamet, Griffin, Harris",1628455-1628971-1629013-201933-203925,BKN,189.0,1,3.0,-3.0,5.0,6.0,,,11.0,2.0,6.0,,6.0,9.0,,,,1.0,,,6.0,,,0.5,,83.80952380952381,19.8,15.0,18.2,15.0,0.3333333333333333,0.46336666666666665,,,,,7.8,,1.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.16666666666666666,0.5,0.5,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,0.16666666666666666,0.5,0.4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1628971-1629651-201142-202681,1610612751,"Mike James, Bruce Brown, Nicolas Claxton, Kevin Durant, Kyrie Irving","James, Brown, Claxton, Durant, Irving",1628455-1628971-1629651-201142-202681,BKN,187.0,1,3.0,-6.0,5.0,6.0,1.0,1.0,11.0,,4.0,,,6.0,1.0,,,1.0,,,,,1.0,,,84.70588235294117,19.4,15.0,16.2,15.0,,0.477675,0.3471,,,,2.95,0.2,1.0,,4.0,,,1.0,,,1.0,,,,,1.0,2.0,,2.0,1.0,3.0,,,,,0.25,,,0.25,1.0,1.0,0.16666666666666666,,,1.0,0.6666666666666666,,,,,1.0,0.3667,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.25,0.25,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1628971-201142-201145-203925,1610612751,"Mike James, Bruce Brown, Kevin Durant, Jeff Green, Joe Harris","James, Brown, Durant, Green, Harris",1628455-1628971-201142-201145-203925,BKN,112.0,1,2.0,,4.0,4.0,,1.0,8.0,2.0,4.0,,4.0,4.0,1.0,,,1.0,,,4.0,,,0.4,,102.85714285714286,18.25,9.75,18.25,9.75,0.4,0.55132,0.6874,,,,3.675,,,1.0,2.0,,2.0,,,4.0,,,,,,1.0,,1.0,1.0,1.0,2.0,,,0.5,0.4,,,1.0,0.5,,1.0,0.3333333333333333,,,,0.4,0.5,0.5,,,0.6,,,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,0.2,,1.0,,,0.2,,1.0,28.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1628971-201142-201933-202681,1610612751,"Mike James, Bruce Brown, Kevin Durant, Blake Griffin, Kyrie Irving","James, Brown, Durant, Griffin, Irving",1628455-1628971-201142-201933-202681,BKN,666.0,3,11.0,-13.0,22.0,22.0,9.0,,44.0,4.0,12.0,1.0,17.0,30.0,5.0,,8.0,3.0,4.0,,15.0,8.0,9.0,0.425,0.5,95.13513513513514,13.136363636363637,17.136363636363637,13.045454545454545,16.954545454545453,0.2222222222222222,0.5544388888888889,0.531575,0.1,,0.47058823529411764,7.125,0.4090909090909091,2.0,3.0,5.0,3.0,5.0,1.0,4.0,6.0,,2.0,3.0,1.0,7.0,1.0,3.0,4.0,7.0,2.0,9.0,0.4,0.4,0.4166666666666667,0.4444444444444444,,,0.8,0.14285714285714285,0.75,0.7777777777777778,0.09090909090909091,,,1.0,0.2777777777777778,0.6,0.6,0.3333333333333333,0.16666666666666666,0.6111111111111112,0.7418,1.0,2.0,,6.0,6.0,6.0,,,2.0,,0.3333333333333333,,0.5,0.5,,0.3333333333333333,1.0,0.25,25.866666666666664,1.0,,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.25,0.25,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.2,1.0,0.5,1.0,0.75,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.375,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1628971-201142-201933-203925,1610612751,"Mike James, Bruce Brown, Kevin Durant, Blake Griffin, Joe Harris","James, Brown, Durant, Griffin, Harris",1628455-1628971-201142-201933-203925,BKN,53.0,1,1.0,,2.0,2.0,,2.0,4.0,,1.0,,2.0,2.0,,,,,,,2.0,,,1.0,,108.67924528301887,16.5,10.0,16.5,10.0,,0.6771,,,,,1.1,,,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1628971-201933-202681-203925,1610612751,"Mike James, Bruce Brown, Blake Griffin, Kyrie Irving, Joe Harris","James, Brown, Griffin, Irving, Harris",1628455-1628971-201933-202681-203925,BKN,219.0,1,4.0,-1.0,7.0,7.0,3.0,,14.0,2.0,4.0,,4.0,5.0,1.0,,2.0,4.0,,,4.0,2.0,3.0,0.3333333333333333,0.5,92.05479452054794,15.857142857142858,15.428571428571429,15.857142857142858,15.428571428571429,0.3333333333333333,0.5355,0.598375,,,0.5,4.625,0.42857142857142855,,2.0,2.0,,2.0,,4.0,,,2.0,2.0,2.0,4.0,,2.0,3.0,5.0,,5.0,1.0,1.0,0.5,0.3333333333333333,,,1.0,,1.0,1.0,,,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,0.6666666666666666,,,1.0,,2.0,2.0,2.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,0.5,25.15,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,0.5,,,,1.0,,,,,,,,0.5,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1629013-1629651-201142-201145,1610612751,"Mike James, Landry Shamet, Nicolas Claxton, Kevin Durant, Jeff Green","James, Shamet, Claxton, Durant, Green",1628455-1629013-1629651-201142-201145,BKN,93.0,1,2.0,,3.0,2.0,3.0,2.0,5.0,,2.0,,2.0,2.0,2.0,,2.0,,,,2.0,2.0,3.0,0.3333333333333333,0.3333333333333333,77.41935483870968,16.333333333333332,22.0,16.333333333333332,22.0,,0.4716833333333333,0.4716833333333333,,,1.0,16.65,1.0,,,,2.0,1.0,,2.0,,1.0,1.0,1.0,,2.0,,2.0,,2.0,,2.0,1.0,1.0,0.5,0.3333333333333333,0.5,,,,1.0,1.0,,,,1.0,,,,,0.6666666666666666,0.3333333333333333,,,,1.0,,1.0,,,,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,23.1,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,0.3333333333333333,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1629013-1629651-201142-202681,1610612751,"Mike James, Landry Shamet, Nicolas Claxton, Kevin Durant, Kyrie Irving","James, Shamet, Claxton, Durant, Irving",1628455-1629013-1629651-201142-202681,BKN,718.0,4,12.0,6.0,26.0,26.0,6.0,17.0,52.0,8.0,16.0,4.0,32.0,26.0,2.0,2.0,10.0,8.0,7.0,1.0,24.0,10.0,6.0,0.5925925925925926,0.8333333333333334,104.28969359331477,14.0,13.615384615384615,13.115384615384615,13.615384615384615,0.32,0.512776,0.47592,0.15384615384615385,0.1111111111111111,0.3125,6.43125,0.23076923076923078,5.0,4.0,6.0,2.0,8.0,5.0,2.0,14.0,4.0,1.0,3.0,1.0,8.0,3.0,4.0,7.0,11.0,6.0,17.0,0.125,0.16666666666666666,0.5,0.56,0.25,0.375,0.7777777777777778,0.375,1.0,0.8461538461538461,0.46153846153846156,0.5,1.0,1.0,0.24,0.6666666666666666,0.8,0.25,0.08,0.6,0.47290000000000004,3.0,1.0,3.0,6.0,9.0,6.0,2.0,1.0,4.0,1.0,0.36,0.16666666666666666,0.5,1.0,0.12,0.24,0.6,0.2,25.577777777777776,4.0,1.0,,,,,0.6666666666666666,,0.5,0.8,2.0,,3.0,2.0,3.0,4.0,4.0,8.0,1.0,2.0,3.0,6.0,6.0,3.0,2.0,1.0,,,4.0,1.0,1.0,3.0,5.0,,2.0,,3.0,0.5,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.8,0.5,0.8,0.8,0.8,0.8,,0.6666666666666666,,,,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6,0.6666666666666666,0.5,0.17647058823529413,0.25,,1.0,1.0,1.0,,1.0,,,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.6,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
1628455-1629013-1629651-201142-203925,1610612751,"Mike James, Landry Shamet, Nicolas Claxton, Kevin Durant, Joe Harris","James, Shamet, Claxton, Durant, Harris",1628455-1629013-1629651-201142-203925,BKN,262.0,3,4.0,-7.0,10.0,8.0,9.0,6.0,18.0,1.0,3.0,,2.0,9.0,3.0,,2.0,1.0,,,2.0,2.0,9.0,0.25,0.25,98.93129770992367,12.0,17.75,10.8,17.5,0.25,0.429775,0.429775,,,1.0,4.833333333333333,0.9,1.0,,2.0,,1.0,,2.0,,,1.0,1.0,,2.0,,,3.0,3.0,,3.0,1.0,1.0,0.3333333333333333,0.25,,,0.75,,,0.75,,,,,0.5,,,,,0.75,,,2.0,,1.0,1.0,1.0,,,3.0,1.0,0.25,,,,,0.25,,0.5,28.1,1.0,,2.0,,2.0,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,3.0,,4.0,1.0,3.0,1.0,,,,,,,0.3333333333333333,,0.25,,0.25,,0.5,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,True
