EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyFg3Pct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3Assists,ShortMidRangeAssists,Loose Ball Fouls,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SecondChanceTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyCorner3FGA,SecondChanceFtPoints,OffThreePtRebounds,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3FGM,AtRimAssists,LostBallSteals,DefensiveGoaltends,DefCorner3ReboundPct,AtRimPctAssisted,PenaltyCorner3Accuracy,PtsPutbacks,HeaveAttempts,SelfOReb,Charge Fouls Drawn,SelfORebPct,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,BlockingFouls,Blocked3s,BlockedArc3,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,OffArc3ReboundPct,SecondChanceArc3FGA,Charge Fouls,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,LongMidRangePctBlocked,PtsUnassisted3s,SecondChanceArc3FGM,SecondChanceFG3M,BlockedCorner3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,FTOffRebounds,OffFTReboundPct,Technical Free Throw Trips,3SecondViolations,BlockingFoulsDrawn,StepOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceArc3PctAssisted,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,team_id,year,season,team_vs
101114-101154-201228-201572-202705,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, MarShon Brooks","Williams, Blatche, Watson, Lopez, Brooks",101114-101154-201228-201572-202705,BKN,462.0,2,8.0,-9.0,15.0,16.0,5.0,4.0,31.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,8.0,17.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,7.0,7.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,6.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,8.0,3.0,5.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.25,0.3333333333333333,0.35,0.3333333333333333,0.36363636363636365,0.375,0.2,0.125,0.5,0.5,1.0,0.8333333333333334,0.7142857142857143,1.0,0.5,1.0,96.62337662337661,0.6666666666666666,15.933333333333334,13.9375,15.933333333333334,13.5,0.1,0.2,0.5,1.0,0.5,0.2,0.2,1.0,0.1,0.1,1.0,1.0,1.0,0.3,1.0,0.407125,0.34833333333333333,0.375,14.9125,24.15,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-201572-2207,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Joe Johnson","Williams, Blatche, Watson, Lopez, Johnson",101114-101154-201228-201572-2207,BKN,319.0,2,5.0,-5.0,12.0,12.0,8.0,10.0,24.0,1.0,,1.0,1.0,1.0,,1.0,3.0,2.0,3.0,1.0,3.0,5.0,12.0,17.0,1.0,1.0,3.0,8.0,,4.0,3.0,3.0,1.0,,,1.0,1.0,1.0,,3.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,,,3.0,2.0,4.0,5.0,5.0,9.0,4.0,,,,,,12.0,8.0,7.0,,2.0,,,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5833333333333334,0.8333333333333334,0.6,0.6666666666666666,0.5,,,0.3333333333333333,1.0,1.0,0.5,,1.0,1.0,108.33855799373042,,14.166666666666666,12.416666666666666,14.166666666666666,12.333333333333334,0.16666666666666666,0.16666666666666666,,,0.16666666666666666,1.0,1.0,,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.5147583333333333,0.4717166666666666,0.6666666666666666,9.633333333333333,24.8,0.6666666666666666,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-201572-2222,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Gerald Wallace","Williams, Blatche, Watson, Lopez, Wallace",101114-101154-201228-201572-2222,BKN,450.0,2,8.0,-8.0,15.0,15.0,4.0,8.0,30.0,2.0,1.0,5.0,3.0,4.0,2.0,,,5.0,11.0,1.0,2.0,,13.0,21.0,2.0,3.0,,4.0,8.0,2.0,3.0,,,,4.0,1.0,5.0,,3.0,11.0,3.0,1.0,4.0,4.0,1.0,,1.0,1.0,,2.0,1.0,2.0,4.0,,,,,,,,,13.0,4.0,4.0,1.0,,0.8,0.8,1.0,0.5,0.5,0.45454545454545453,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.15384615384615385,,,0.5,1.0,0.6,0.6,,0.6666666666666666,1.0,96.0,,15.666666666666666,14.333333333333334,15.666666666666666,14.2,0.15384615384615385,0.38461538461538464,0.2,0.2,0.3076923076923077,0.75,0.75,1.0,0.15384615384615385,,,,,0.3076923076923077,,0.4634346153846154,0.4431,0.3076923076923077,9.69090909090909,22.9,0.26666666666666666,1.0,,,,,,,1.0,,,,,0.5,0.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-201572-2586,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Keith Bogans","Williams, Blatche, Watson, Lopez, Bogans",101114-101154-201228-201572-2586,BKN,38.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-201572-711,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Jerry Stackhouse","Williams, Blatche, Watson, Lopez, Stackhouse",101114-101154-201228-201572-711,BKN,11.0,1,,3.0,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,1.0,,1.0,,1.5,,,,,,,,,,,,130.9090909090909,,11.0,,11.0,,1.0,,,,,,,,,,,,,1.0,,0.7267,,,0.7,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-202705-203141,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, MarShon Brooks, Mirza Teletovic","Williams, Blatche, Watson, Brooks, Teletovic",101114-101154-201228-202705-203141,BKN,365.0,2,6.0,-3.0,10.0,11.0,2.0,3.0,21.0,2.0,1.0,3.0,,3.0,,1.0,1.0,2.0,8.0,1.0,1.0,2.0,9.0,12.0,1.0,3.0,,2.0,,4.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,,3.0,3.0,,4.0,6.0,1.0,,1.0,1.0,,2.0,,,,1.0,2.0,,1.0,1.0,,1.0,1.0,7.0,2.0,2.0,,,,,1.0,1.0,1.0,0.25,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.45,0.3333333333333333,0.1111111111111111,0.25,0.3333333333333333,0.5,,0.42857142857142855,0.5,0.5,0.3333333333333333,,82.84931506849315,1.0,18.1,16.727272727272727,17.0,14.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,,,,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,1.0,0.4230833333333333,0.4651,0.2222222222222222,11.05,24.8,0.2,1.0,,,,,,,,,,1.0,,0.5,1.0,,,0.1,0.1111111111111111,1.0,1.0,,,,,,,,,0.3333333333333333,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,0.52,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-202705-2222,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, MarShon Brooks, Gerald Wallace","Williams, Blatche, Watson, Brooks, Wallace",101114-101154-201228-202705-2222,BKN,409.0,2,7.0,-3.0,13.0,13.0,6.0,8.0,26.0,3.0,,,2.0,4.0,1.0,,2.0,2.0,7.0,,3.0,6.0,10.0,13.0,2.0,2.0,2.0,6.0,4.0,,,2.0,,1.0,2.0,,2.0,,2.0,4.0,1.0,3.0,5.0,8.0,,,1.0,,,1.0,1.0,3.0,7.0,7.0,10.0,2.0,1.0,,1.0,1.0,,7.0,6.0,6.0,1.0,2.0,1.0,1.0,,,,0.2857142857142857,1.0,0.2,0.5,0.3333333333333333,0.5,0.3,0.14285714285714285,,,1.0,0.5,0.5,1.0,,,91.54034229828851,,14.461538461538462,17.0,13.923076923076923,16.692307692307693,0.3,,,,0.4,0.5,0.5,1.0,0.1,0.2,,,,0.6,,0.511345,0.4595,0.6,10.314285714285715,24.8,0.46153846153846156,,,1.0,,2.0,3.0,3.0,,1.0,,3.0,,,,0.25,,0.23076923076923078,0.3,,,,,,,,,,,,,3.0,,1.0,1.0,2.0,3.0,2.0,1.0,3.0,,0.5,0.5,0.5,0.3333333333333333,0.4,0.5,0.375,,,0.5,0.5,,0.6943,0.3,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-202705-2501,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, MarShon Brooks, Reggie Evans","Williams, Blatche, Watson, Brooks, Evans",101114-101154-201228-202705-2501,BKN,1059.0,6,18.0,20.0,34.0,34.0,13.0,19.0,68.0,8.0,11.0,11.0,1.0,4.0,2.0,1.0,2.0,19.0,23.0,3.0,4.0,6.0,53.0,33.0,7.0,7.0,4.0,24.0,18.0,20.0,9.0,2.0,1.0,1.0,9.0,3.0,12.0,1.0,,27.0,6.0,2.0,10.0,10.0,4.0,2.0,,2.0,,4.0,2.0,7.0,11.0,10.0,6.0,,2.0,1.0,1.0,2.0,1.0,53.0,24.0,13.0,1.0,,0.47368421052631576,0.47368421052631576,1.0,0.75,0.75,0.8260869565217391,1.0,0.8703703703703703,1.0,0.9137931034482759,1.0909090909090908,0.14814814814814814,0.043478260869565216,,1.0,0.6666666666666666,0.6,0.6666666666666666,1.0,0.4,0.6666666666666666,92.46458923512749,0.5,13.382352941176471,17.764705882352942,13.382352941176471,16.323529411764707,0.2962962962962963,0.4074074074074074,1.0,1.0,0.14814814814814814,0.25,0.25,,0.07407407407407407,0.07407407407407407,0.5,0.5,1.0,0.4444444444444444,0.5,0.4891814814814815,0.519825,0.4528301886792453,7.686956521739131,24.05,0.38235294117647056,7.0,1.0,2.0,2.0,3.0,5.0,4.0,,,2.0,4.0,0.6666666666666666,0.875,1.0,0.2,0.5,0.13793103448275862,0.16,3.0,3.0,2.0,2.0,8.0,,0.7272727272727273,1.0,1.0,1.0,0.3,1.0,,,,,,,,2.0,,,,,,0.125,,1.0,,,,1.0,,,,,1.0,,,,,,0.1,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-202705-2743,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, MarShon Brooks, Kris Humphries","Williams, Blatche, Watson, Brooks, Humphries",101114-101154-201228-202705-2743,BKN,645.0,5,11.0,-3.0,19.0,22.0,3.0,8.0,41.0,4.0,1.0,5.0,3.0,5.0,,1.0,3.0,6.0,14.0,1.0,3.0,2.0,17.0,20.0,1.0,1.0,2.0,4.0,6.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,9.0,4.0,,5.0,6.0,1.0,,,1.0,,1.0,,4.0,4.0,7.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,15.0,4.0,3.0,,2.0,0.5,0.6,1.0,0.3333333333333333,0.5,0.42857142857142855,1.0,0.4411764705882353,1.0,0.4473684210526316,0.6666666666666666,0.17647058823529413,0.07142857142857142,0.2,1.0,,0.5714285714285714,0.5555555555555556,0.5,0.6666666666666666,,91.53488372093024,0.5,17.05263157894737,14.590909090909092,17.0,13.818181818181818,0.23529411764705882,0.29411764705882354,0.2,0.25,0.29411764705882354,0.6,0.6,0.3333333333333333,,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.4117647058823529,0.5,0.4543875,0.3916,0.23529411764705882,9.85,34.233333333333334,0.15789473684210525,2.0,,,,,1.0,1.0,,,,,,0.5,0.5,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,0.125,0.5,0.1111111111111111,0.25,,,1.0,1.0,0.5654,0.11764705882352941,,,,,,,,,1.0,,,1.0,0.5,,2.0,1.0,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-203141-2207,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Mirza Teletovic, Joe Johnson","Williams, Blatche, Watson, Teletovic, Johnson",101114-101154-201228-203141-2207,BKN,569.0,3,9.0,-10.0,17.0,21.0,9.0,8.0,38.0,4.0,,,2.0,5.0,1.0,1.0,1.0,5.0,9.0,1.0,2.0,1.0,14.0,24.0,4.0,6.0,,8.0,4.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,4.0,,8.0,10.0,5.0,4.0,1.0,1.0,,6.0,3.0,1.0,5.0,2.0,4.0,,,,,,,14.0,8.0,9.0,,,0.4,0.4,1.0,0.5,0.5,0.5555555555555556,0.6666666666666666,0.5909090909090909,0.5714285714285714,0.5384615384615384,0.5714285714285714,0.18181818181818182,0.1111111111111111,,0.8333333333333334,,0.6666666666666666,0.7272727272727273,0.8,,,96.16871704745168,,15.294117647058824,14.714285714285714,14.823529411764707,13.761904761904763,0.36363636363636365,,,,0.45454545454545453,0.4,0.4,0.5,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.5454545454545454,1.0,0.5134454545454545,0.5646071428571429,0.5714285714285714,10.377777777777778,24.75,0.5294117647058824,3.0,,,,1.0,,,1.0,,,2.0,,0.75,1.0,,,0.15384615384615385,0.18181818181818182,3.0,3.0,,,,2.0,,,,,0.42857142857142855,1.0,2.0,,,,1.0,,2.0,4.0,2.0,,,,,0.25,0.5,0.8,0.4,,0.3333333333333333,1.0,,,0.471775,,1.0,,,,1.0,,0.14285714285714285,,1.0,,,0.5,0.3333333333333333,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
